State,Year,Month,Indicator,Actual Deaths,Percent Pending Investigation,State Name
IL,2015,September,Natural & semi-synthetic opioids (T40.2),253,0.026614199,Illinois
ME,2015,December,Cocaine (T40.5),32,0.0,Maine
ME,2015,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",200,0.0,Maine
ME,2015,December,Natural & semi-synthetic opioids (T40.2),105,0.0,Maine
ME,2015,December,Psychostimulants with abuse potential (T43.6),22,0.0,Maine
ME,2015,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",127,0.0,Maine
ME,2015,February,Cocaine (T40.5),25,0.043336945,Maine
ME,2015,August,Heroin (T40.1),48,0.014105367,Maine
ME,2015,February,Psychostimulants with abuse potential (T43.6),15,0.043336945,Maine
ME,2015,August,"Opioids (T40.0-T40.4,T40.6)",219,0.014105367,Maine
ME,2015,December,Methadone (T40.3),37,0.0,Maine
ME,2015,August,Natural & semi-synthetic opioids (T40.2),95,0.014105367,Maine
MD,2015,September,"Synthetic opioids, excl. methadone (T40.4)",268,0.014741497,Maryland
MD,2015,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",532,0.014741497,Maryland
MD,2015,September,Methadone (T40.3),175,0.014741497,Maryland
ME,2015,April,Heroin (T40.1),46,0.021439291,Maine
ME,2015,April,Psychostimulants with abuse potential (T43.6),21,0.021439291,Maine
ME,2015,April,"Opioids (T40.0-T40.4,T40.6)",211,0.021439291,Maine
ME,2015,April,Natural & semi-synthetic opioids (T40.2),99,0.021439291,Maine
ME,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",124,0.021439291,Maine
ME,2015,April,Methadone (T40.3),41,0.021439291,Maine
MD,2015,September,Natural & semi-synthetic opioids (T40.2),401,0.014741497,Maryland
ME,2015,December,Heroin (T40.1),53,0.0,Maine
ME,2015,December,"Opioids (T40.0-T40.4,T40.6)",235,0.0,Maine
ME,2015,December,"Synthetic opioids, excl. methadone (T40.4)",110,0.0,Maine
NY,2015,June,Methadone (T40.3),120,0.309032879,New York
NY,2015,June,"Synthetic opioids, excl. methadone (T40.4)",375,0.309032879,New York
NY,2015,June,Cocaine (T40.5),326,0.309032879,New York
NY,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",543,0.322339437,New York
NY,2015,June,Heroin (T40.1),593,0.309032879,New York
NY,2015,July,"Synthetic opioids, excl. methadone (T40.4)",404,0.322339437,New York
NY,2015,July,"Opioids (T40.0-T40.4,T40.6)",0,0.322339437,New York
NY,2015,July,Number of Drug Overdose Deaths,0,0.322339437,New York
NY,2015,July,Heroin (T40.1),604,0.322339437,New York
NY,2015,July,Psychostimulants with abuse potential (T43.6),32,0.322339437,New York
NY,2015,July,Cocaine (T40.5),329,0.322339437,New York
NY,2015,July,Natural & semi-synthetic opioids (T40.2),446,0.322339437,New York
NY,2015,July,Methadone (T40.3),120,0.322339437,New York
NY,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",843,0.322339437,New York
UT,2015,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",402,0.301709688,Utah
ME,2015,August,Methadone (T40.3),39,0.014105367,Maine
ME,2015,August,Number of Drug Overdose Deaths,245,0.014105367,Maine
ME,2015,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",118,0.014105367,Maine
ME,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",185,0.014105367,Maine
ME,2015,August,Cocaine (T40.5),23,0.014105367,Maine
ME,2015,December,Number of Drug Overdose Deaths,267,0.0,Maine
ME,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",182,0.021439291,Maine
ME,2015,April,"Synthetic opioids, excl. methadone (T40.4)",81,0.021439291,Maine
ME,2015,April,Cocaine (T40.5),24,0.021439291,Maine
ME,2015,April,Number of Drug Overdose Deaths,243,0.021439291,Maine
ME,2015,February,Heroin (T40.1),40,0.043336945,Maine
ME,2015,February,"Opioids (T40.0-T40.4,T40.6)",181,0.043336945,Maine
ME,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",111,0.043336945,Maine
ME,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",157,0.043336945,Maine
ME,2015,January,Cocaine (T40.5),22,0.058706979,Maine
ME,2015,January,"Synthetic opioids, excl. methadone (T40.4)",59,0.058706979,Maine
MD,2015,September,Heroin (T40.1),381,0.014741497,Maryland
ME,2015,January,Psychostimulants with abuse potential (T43.6),15,0.058706979,Maine
ME,2015,January,Heroin (T40.1),38,0.058706979,Maine
ME,2015,January,Number of Drug Overdose Deaths,213,0.058706979,Maine
ME,2015,January,Methadone (T40.3),35,0.058706979,Maine
ME,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",148,0.058706979,Maine
ME,2015,January,"Opioids (T40.0-T40.4,T40.6)",171,0.058706979,Maine
ME,2015,January,Natural & semi-synthetic opioids (T40.2),82,0.058706979,Maine
ME,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",106,0.058706979,Maine
ME,2015,July,Methadone (T40.3),40,0.014232849,Maine
MD,2015,September,Cocaine (T40.5),144,0.014741497,Maryland
MD,2015,September,"Opioids (T40.0-T40.4,T40.6)",0,0.014741497,Maryland
MD,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",657,0.01055164,Maryland
MD,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",522,0.01055164,Maryland
MD,2015,June,Cocaine (T40.5),122,0.010570601,Maryland
ME,2015,February,Natural & semi-synthetic opioids (T40.2),88,0.043336945,Maine
NY,2015,June,Number of Drug Overdose Deaths,0,0.309032879,New York
ME,2015,February,Number of Drug Overdose Deaths,218,0.043336945,Maine
ME,2015,July,Cocaine (T40.5),21,0.014232849,Maine
ME,2015,August,Psychostimulants with abuse potential (T43.6),19,0.014105367,Maine
ME,2015,August,"Synthetic opioids, excl. methadone (T40.4)",96,0.014105367,Maine
ME,2015,February,Methadone (T40.3),35,0.043336945,Maine
ME,2015,February,"Synthetic opioids, excl. methadone (T40.4)",63,0.043336945,Maine
ME,2015,July,Heroin (T40.1),48,0.014232849,Maine
ME,2015,July,Number of Drug Overdose Deaths,253,0.014232849,Maine
ME,2015,July,"Opioids (T40.0-T40.4,T40.6)",223,0.014232849,Maine
ME,2015,July,"Synthetic opioids, excl. methadone (T40.4)",89,0.014232849,Maine
ME,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",190,0.014232849,Maine
ME,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",127,0.014232849,Maine
ME,2015,June,Cocaine (T40.5),22,0.014269406,Maine
ME,2015,June,"Synthetic opioids, excl. methadone (T40.4)",80,0.014269406,Maine
ME,2015,June,Methadone (T40.3),39,0.014269406,Maine
ME,2015,June,Number of Drug Overdose Deaths,238,0.014269406,Maine
ME,2015,June,Psychostimulants with abuse potential (T43.6),22,0.014269406,Maine
ME,2015,June,Natural & semi-synthetic opioids (T40.2),99,0.014269406,Maine
ME,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",179,0.014269406,Maine
ME,2015,June,"Opioids (T40.0-T40.4,T40.6)",209,0.014269406,Maine
ME,2015,June,Heroin (T40.1),44,0.014269406,Maine
ME,2015,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",121,0.014269406,Maine
ME,2015,July,Psychostimulants with abuse potential (T43.6),22,0.014232849,Maine
ME,2015,July,Natural & semi-synthetic opioids (T40.2),104,0.014232849,Maine
NY,2015,June,Psychostimulants with abuse potential (T43.6),34,0.309032879,New York
NY,2015,June,Natural & semi-synthetic opioids (T40.2),434,0.309032879,New York
NY,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",808,0.309032879,New York
NY,2015,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",968,0.405174865,New York
NY,2015,December,Cocaine (T40.5),354,0.405174865,New York
NY,2015,December,Methadone (T40.3),122,0.405174865,New York
NY,2015,December,Heroin (T40.1),660,0.405174865,New York
NY,2015,December,"Opioids (T40.0-T40.4,T40.6)",0,0.405174865,New York
NY,2015,December,"Synthetic opioids, excl. methadone (T40.4)",532,0.405174865,New York
NY,2015,December,Number of Drug Overdose Deaths,0,0.405174865,New York
NY,2015,August,Cocaine (T40.5),335,0.33775609,New York
NY,2015,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",557,0.33775609,New York
